Languagetool gets right: 13772
Out of: 38698
Accuracy: 0.356

LT correct + ours correct: 8131
LT correct + ours incorrect: 5641
LT incorrect + ours correct: 7051
LT incorrect + ours incorrect: 17875

############ Correct by Languagetool, correct by us ##########
orig: wolte 	 correct: wollte ours: wollte
orig: risen 	 languagetool: reisen 	 correct: riesen ours: reisen
orig: Huge 	 languagetool: Zuge 	 correct: Hunger ours: Auge
orig: über 	 languagetool:  	 correct: überglücklich ours: über
orig: glüglich 	 languagetool: klüglich 	 correct: überglücklich ours: glücklich
orig: frausch-ien 	 languagetool: Brauchs-in 	 correct: Frauchen ours: rauschen
orig: wieder 	 languagetool:  	 correct: wiedersehen ours: wieder
orig: sehen 	 languagetool:  	 correct: wiedersehen ours: sehen
orig: Zuchause 	 languagetool: Zugpause 	 correct: zuhause ours: Zuhause
orig: das 	 languagetool:  	 correct: dass ours: das
orig: das 	 languagetool:  	 correct: dass ours: das
orig: Soger 	 languagetool: Sog er 	 correct: Sogar ours: Roger
orig: halo 	 languagetool: hallo 	 correct: Hallo ours: Halo
orig: gekukt 	 languagetool: geguckt 	 correct: gekuckt ours: gekauft
orig: telefon 	 languagetool: Telefon 	 correct: Telefonnummer ours: Telefone
orig: nuner 	 languagetool: nun er 	 correct: Telefonnummer ours: unter
orig: klingels 	 languagetool: klingelt 	 correct: klingel es ours: klingelt
orig: nigst 	 languagetool: nichts 	 correct: nix ours: neigst
orig: fütern 	 languagetool: Gütern 	 correct: Füttern ours: Gütern
orig: Das 	 languagetool: das 	 correct: dass ours: das
orig: wal 	 languagetool: Wal 	 correct: weil ours: war
orig: hägt 	 languagetool: hegt 	 correct: hängt ours: hält
orig: bs 	 languagetool: BS 	 correct: bis ours: es
orig: an 	 languagetool:  	 correct: anruft ours: man
orig: ruft 	 languagetool:  	 correct: anruft ours: ruft
orig: das 	 languagetool:  	 correct: dass ours: das
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: gefun 	 languagetool: gegen 	 correct: gefunden ours: gegen
orig: den 	 languagetool:  	 correct: gefunden ours: den
orig: wan 	 languagetool: wann 	 correct: waren ours: was
orig: ser 	 languagetool: der 	 correct: sehr ours: er
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: vun 	 languagetool: von 	 correct: und ours: von
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: Dort
orig: werded 	 languagetool: wertet 	 correct: werdet ours: werden
orig: Paminuten 	 languagetool: Laminaten 	 correct: paar Minuten ours: Patienten
orig: Freud 	 languagetool:  	 correct: freut ours: Freund
orig: Dan 	 languagetool:  	 correct: Dann ours: An
orig: keina 	 languagetool: keine 	 correct: keiner ours: kein
orig: Aba 	 languagetool: Abt 	 correct: Aber ours: Abo
orig: Dan 	 languagetool:  	 correct: Dann ours: An
orig: gekomen 	 languagetool: gegoren 	 correct: gekommen ours: bekommen
orig: ist 	 languagetool:  	 correct: isst ours: ist
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: is 	 languagetool:  	 correct: ist ours: Ist
orig: watet 	 languagetool:  	 correct: wartet ours: Wartet
orig: Henkt 	 languagetool: Hängt 	 correct: hängt ours: denkt
orig: gekukt 	 languagetool: geguckt 	 correct: gekuckt ours: gekauft
orig: loli 	 languagetool: Soli 	 correct: Lolli ours: Soli
orig: fresen 	 languagetool: fräsen 	 correct: Fressen ours: fressen
orig: das 	 languagetool:  	 correct: dass ours: das
orig: das 	 languagetool:  	 correct: dass ours: das
orig: binkt 	 languagetool: bin kt 	 correct: bringt ours: sinkt
orig: sit 	 languagetool: ist 	 correct: sieht ours: ist
orig: in 	 languagetool:  	 correct: ihn ours: ein
orig: far 	 languagetool: für 	 correct: vermisst ours: war
orig: mist 	 languagetool: Mist 	 correct: vermisst ours: mit
orig: ihrn 	 languagetool: ihn 	 correct: ihren ours: ihr
orig: über 	 languagetool:  	 correct: überall ours: über
orig: al 	 languagetool: als 	 correct: überall ours: als
orig: geh 	 languagetool:  	 correct: gefunden ours: geht
orig: funden 	 languagetool: Funden 	 correct: gefunden ours: finden
orig: loli 	 languagetool: Soli 	 correct: Lolli ours: Soli
orig: eines 	 languagetool:  	 correct: Eines ours: eines
orig: Alls 	 languagetool:  	 correct: als ours: All
orig: das 	 languagetool:  	 correct: dass ours: was
orig: kammein 	 languagetool: kam mein 	 correct: kam ein ours: kommen
orig: loly 	 languagetool: soll 	 correct: Lolli ours: voll
orig: Doda 	 languagetool: Dora 	 correct: Dodo ours: Soda
orig: kleibt 	 languagetool: bleibt 	 correct: klebt ours: bleibt
orig: Dan 	 languagetool:  	 correct: Dann ours: An
orig: kammt 	 languagetool: kämmt 	 correct: kamt ours: Kommt
orig: krikt 	 languagetool: drückt 	 correct: kriegt ours: tritt
orig: sizt 	 languagetool: sich 	 correct: sitzt ours: Sitzt
orig: das 	 languagetool:  	 correct: dass ours: das
orig: virtel 	 languagetool: viertel 	 correct: Viertelstunde ours: viertel
orig: stunde 	 languagetool: Stunde 	 correct: Viertelstunde ours: Stunde
orig: hüpt 	 languagetool: hebt 	 correct: hüpft ours: Hat
orig: Pfuter 	 languagetool: Fuder 	 correct: Futter ours: Peter
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: henkt 	 languagetool:  	 correct: hängt ours: denkt
orig: plakt 	 languagetool:  	 correct: Plakat ours: plant
orig: apgebildet 	 languagetool:  	 correct: abgebildet ours: ausgebildet
orig: dan 	 languagetool:  	 correct: dann ours: das
orig: hause 	 languagetool:  	 correct: Hause ours: hause
orig: Lolie 	 languagetool: Lilie 	 correct: Lolli ours: Login
orig: klingeldander 	 languagetool: Klingeltaster 	 correct: klingelt an der ours: klingender
orig: tüar 	 languagetool: dar 	 correct: Tür ours: war
orig: Rend 	 languagetool: Rand 	 correct: rennt ours: Rand
orig: Drausen 	 languagetool: Draußen 	 correct: draußen ours: Brausen
orig: niwider 	 languagetool: livider 	 correct: nie wieder ours: wider
orig: ap 	 languagetool: AP 	 correct: ab ours: an
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: Dar 	 languagetool:  	 correct: Da ours: Bar
orig: Dar 	 languagetool:  	 correct: da ours: Bar
orig: das 	 languagetool:  	 correct: dass ours: das
orig: widafräulich 	 languagetool:  	 correct: wieder fröhlich ours: widerlich
orig: kukt 	 languagetool: rückt 	 correct: kuckt ours: Kult
orig: umame 	 languagetool: Imame 	 correct: umarmen ours: Summe
orig: n 	 languagetool:  	 correct: umarmen ours: n
orig: ist 	 languagetool:  	 correct: isst ours: ist
orig: ser-ser-ser 	 languagetool: der-der-der 	 correct: sehr sehr sehr ours: Berserker
orig: kukt 	 languagetool: rückt 	 correct: kuckt ours: Kurt
orig: loli 	 languagetool: Soli 	 correct: Lolli ours: Soli
orig: puster 	 languagetool: bester 	 correct: Poster ours: muster
orig: ange 	 languagetool: lange 	 correct: angerufen ours: lange
orig: rufen 	 languagetool:  	 correct: angerufen ours: rufen
orig: zuhause 	 languagetool: zu Hause 	 correct: Zuhause ours: zuhause
orig: Dudo 	 languagetool: Judo 	 correct: Dodo ours: Judo
orig: Ferschwunde 	 languagetool: Verschwunden 	 correct: verschwundene ours: verschwunden
orig: Weder 	 languagetool:  	 correct: Wieder ours: weder
orig: gerand 	 languagetool: genant 	 correct: gerannt ours: Gewand
orig: rirre 	 languagetool: irre 	 correct: ihrer ours: irre
orig: drustete 	 languagetool: brüstete 	 correct: tröstete ours: prustete
orig: in 	 languagetool:  	 correct: ihn ours: in
orig: auf 	 languagetool:  	 correct: aufhängen ours: aus
orig: hengen 	 languagetool: hängen 	 correct: aufhängen ours: hängen
orig: nachtbar 	 languagetool: Nachtbar 	 correct: Nachbar ours: sichtbar
orig: Schelte 	 languagetool:  	 correct: schellte ours: Schelde
orig: uber 	 languagetool: Uber 	 correct: überglücklich ours: aber
orig: gluglich 	 languagetool: klüglich 	 correct: überglücklich ours: tauglich
orig: umande 	 languagetool: umrande 	 correct: umarmte ours: humane
orig: Telefonirt 	 languagetool: Telefonist 	 correct: telefoniert ours: Telefonie
orig: klinget 	 languagetool: kling et 	 correct: klingelt ours: Klingt
orig: kukt 	 languagetool: rückt 	 correct: kuckt ours: Kult
orig: Magen 	 languagetool:  	 correct: Morgen ours: Wagen
orig: paster's 	 languagetool:  	 correct: Posters ours: Lasters
orig: ueg 	 languagetool: weg 	 correct: weggelaufen ours: weg
orig: gelaufen 	 languagetool:  	 correct: weggelaufen ours: gelaufen
orig: negßten 	 languagetool:  	 correct: nächsten ours: netten
orig: tag 	 languagetool:  	 correct: Tag ours: lag
orig: ua 	 languagetool:  	 correct: war ours: um
orig: ser 	 languagetool:  	 correct: sehr ours: der
orig: an 	 languagetool:  	 correct: angerufen ours: in
orig: gerifen 	 languagetool: gerufen 	 correct: angerufen ours: gerufen
orig: an 	 languagetool:  	 correct: angerufen ours: an
orig: gerufen 	 languagetool:  	 correct: angerufen ours: gerufen
orig: HappY 	 languagetool: Happy 	 correct: happy ours: Harry
orig: das 	 languagetool: Das 	 correct: dass ours: Dass
orig: an 	 languagetool:  	 correct: angerufen ours: man
orig: gerufen 	 languagetool:  	 correct: angerufen ours: gerufen
orig: so 	 languagetool:  	 correct: sofort ours: so
orig: fart 	 languagetool: fand 	 correct: sofort ours: hart
orig: ir 	 languagetool: IR 	 correct: ihr ours: in
orig: lolie 	 languagetool: Folie 	 correct: Lolli ours: sowie
orig: mit 	 languagetool:  	 correct: mitgebracht ours: mit
orig: gebrart 	 languagetool: geprägt 	 correct: mitgebracht ours: gebracht
orig: plakten 	 languagetool: plagten 	 correct: Plakaten ours: platten
orig: angero 	 languagetool: ankern 	 correct: angerufen ours: Anger
orig: fen 	 languagetool: den 	 correct: angerufen ours: den
orig: ambiesien 	 languagetool:  	 correct: am bisschen ours: anbieten
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: sit 	 languagetool: ist 	 correct: sieht ours: Mit
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: imt 	 languagetool: im 	 correct: nimmt ours: Ist
orig: sgt 	 languagetool: sackt 	 correct: sagt ours: Sagt
orig: uhr 	 languagetool: Uhr 	 correct: Uhrzeit ours: Uhr
orig: zeit 	 languagetool: Zeit 	 correct: Uhrzeit ours: zeit
orig: sgt 	 languagetool: sackt 	 correct: sagt ours: Sagt
orig: LoLi 	 languagetool: Li Li 	 correct: Lolli ours: Soli
orig: kukd 	 languagetool: rückt 	 correct: kuckt ours: und
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: Hunde 	 languagetool:  	 correct: Hundefutter ours: Hunde
orig: fter 	 languagetool: oder 	 correct: Hundefutter ours: öfter
orig: dodos 	 languagetool: Fotos 	 correct: Dodos ours: doof
orig: fuler 	 languagetool: Euler 	 correct: Futterschale ours: Euler
orig: schale 	 languagetool:  	 correct: Futterschale ours: schade
orig: sikunden 	 languagetool: zickenden 	 correct: Sekunden ours: stunden
orig: freude 	 languagetool: Freude 	 correct: Freudentränen ours: Freude
orig: trenen 	 languagetool: tränen 	 correct: Freudentränen ours: treten
orig: kamm 	 languagetool: Kamm 	 correct: kam ours: Kam
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: umamte 	 languagetool: um amte 	 correct: umarmte ours: Uralte
orig: Hund 	 languagetool:  	 correct: Hundefutter ours: und
orig: futer 	 languagetool: guter 	 correct: Hundefutter ours: Futter
orig: schdet 	 languagetool: schied 	 correct: steht ours: schaut
orig: dar 	 languagetool:  	 correct: da ours: das
orig: vreute 	 languagetool:  	 correct: freute ours: heute
orig: ser 	 languagetool:  	 correct: sehr ours: der
orig: lekte 	 languagetool:  	 correct: leckte ours: legte
orig: dan 	 languagetool:  	 correct: dann ours: das
orig: luza 	 languagetool:  	 correct: Lutscher ours: Luca
orig: mit 	 languagetool:  	 correct: mitgebracht ours: mir
orig: gebracht 	 languagetool:  	 correct: mitgebracht ours: gebracht
orig: ser 	 languagetool:  	 correct: sehr ours: der
orig: aufzupa 	 languagetool: aufzupfe 	 correct: aufzupassen ours: Aufzug
orig: ssen 	 languagetool: essen 	 correct: aufzupassen ours: Essen
orig: zu 	 languagetool:  	 correct: zufrieden ours: zu
orig: friden 	 languagetool: Briten 	 correct: zufrieden ours: freien
orig: Posta 	 languagetool:  	 correct: Poster ours: Post
orig: aufgehent 	 languagetool: aufgehend 	 correct: aufgehängt ours: aufgehen
orig: hause 	 languagetool:  	 correct: Hause ours: hause
orig: uau 	 languagetool: Bau 	 correct: wau ours: au
orig: dan 	 languagetool: Dan 	 correct: dann ours: Dann
orig: faln 	 languagetool: van 	 correct: fallen ours: Fall
orig: gelasen 	 languagetool: geladen 	 correct: gelassen ours: gelesen
orig: Dan 	 languagetool:  	 correct: Dann ours: An
orig: dan 	 languagetool: Dan 	 correct: dann ours: An
orig: Lutscha 	 languagetool: Lutsch 	 correct: Lutscher ours: Putsch
orig: wege 	 languagetool: Wege 	 correct: weggelaufen ours: weg
orig: laufen 	 languagetool:  	 correct: weggelaufen ours: kaufen
orig: felt 	 languagetool: Welt 	 correct: fällt ours: Fehlt
orig: gucht 	 languagetool: sucht 	 correct: guckt ours: Sucht
orig: sien 	 languagetool: sie 	 correct: sein ours: sie
orig: fütter 	 languagetool:  	 correct: Futter ours: füttern
orig: fehlt 	 languagetool:  	 correct: fällt ours: Fehlt
orig: Du 	 languagetool:  	 correct: Da ours: Du
orig: Klebt 	 languagetool:  	 correct: klebt ours: lebt
orig: sizs 	 languagetool:  	 correct: sitz ours: sind
orig: das 	 languagetool:  	 correct: dass ours: das
orig: gluglich 	 languagetool: klüglich 	 correct: glücklich ours: kläglich
orig: Doda 	 languagetool: Dora 	 correct: Dodo ours: Soda
orig: koft 	 languagetool: köpft 	 correct: klopft ours: oft
orig: voten 	 languagetool:  	 correct: Pfoten ours: roten
orig: Lors 	 languagetool: Lohrs 	 correct: Lars ours: Lord
orig: Hot 	 languagetool: Tod 	 correct: hat ours: Hof
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: inder 	 languagetool: Inder 	 correct: in der ours: Kinder
orig: Turauf 	 languagetool: Tu rauf 	 correct: Tür auf ours: drauf
orig: frist 	 languagetool: Frist 	 correct: frisst ours: Frist
orig: futer 	 languagetool: guter 	 correct: Futter ours: guter
orig: lucher 	 languagetool: Bücher 	 correct: Lutscher ours: Löcher
orig: um 	 languagetool:  	 correct: umarmen sich ours: im
orig: amensich 	 languagetool: amen sich 	 correct: umarmen sich ours: Mensch
orig: gechite 	 languagetool: kehrte 	 correct: Geschichte ours: rechte
orig: sein 	 languagetool:  	 correct: sien ours: ein
orig: klinge 	 languagetool:  	 correct: klingel ours: klingt
orig: Plakte 	 languagetool: Klagte 	 correct: Plakate ours: Platte
orig: wal 	 languagetool: Wal 	 correct: weil ours: was
orig: über 	 languagetool:  	 correct: überall ours: aber
orig: alh 	 languagetool: als 	 correct: überall ours: all
orig: watet 	 languagetool:  	 correct: wartet ours: Wartet
orig: wen 	 languagetool:  	 correct: wenn ours: den
orig: würd 	 languagetool:  	 correct: würde ours: wird
orig: watte 	 languagetool: Watte 	 correct: wartete ours: warte
orig: watte 	 languagetool: Watte 	 correct: wartete ours: hatte
orig: rufdan 	 languagetool: rupften 	 correct: ruft an ours: rufen
orig: ttrenen 	 languagetool: denen 	 correct: Tränen ours: tränen
orig: fran 	 languagetool: van 	 correct: freuen ours: fraß
orig: ser 	 languagetool: der 	 correct: sehr ours: der
orig: hin-getan 	 languagetool:  	 correct: hingetan ours: angetan
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: fer 	 languagetool: der 	 correct: verschwunden ours: der
orig: schwunden 	 languagetool: gründen 	 correct: verschwunden ours: schwinden
orig: Ruft 	 languagetool:  	 correct: ruft ours: Luft
orig: Sagd 	 languagetool: Macht 	 correct: sagt ours: Jagd
orig: for 	 languagetool: vor 	 correct: vorbei ours: für
orig: bei 	 languagetool:  	 correct: vorbei ours: bei
orig: rend 	 languagetool: rund 	 correct: rennt ours: red
orig: Sagd 	 languagetool: Macht 	 correct: sagt ours: Sand
orig: ein 	 languagetool:  	 correct: einmal ours: ein
orig: mal 	 languagetool:  	 correct: einmal ours: mal
orig: Lolli 	 languagetool:  	 correct: Lollipop ours: Zoll
orig: pop 	 languagetool: Pop 	 correct: Lollipop ours: Pop
orig: Das 	 languagetool:  	 correct: dass ours: das
orig: Sacht 	 languagetool:  	 correct: sagt ours: Sicht
orig: Lolli 	 languagetool:  	 correct: Lollipop ours: Rolle
orig: pop 	 languagetool: Pop 	 correct: Lollipop ours: Pop
orig: zitrus 	 languagetool: Petrus 	 correct: Zitrus ours: Virus
orig: dah 	 languagetool: das 	 correct: da ours: das
orig: ide 	 languagetool: IDE 	 correct: Idee ours: die
orig: hente 	 languagetool: heute 	 correct: hängte ours: heute
orig: trofen 	 languagetool: tropfen 	 correct: tropften ours: trafen
orig: iner 	 languagetool: in er 	 correct: immer ours: einer
orig: lanzan 	 languagetool: Cancan 	 correct: langsam ours: tanzen
orig: wut 	 languagetool: Wut 	 correct: wurde ours: gut
orig: besokt 	 languagetool: bezogt 	 correct: besorgt ours: best
orig: nahaus 	 languagetool: nah aus 	 correct: nach Haus ours: daraus
orig: ser 	 languagetool: der 	 correct: sehr ours: der
orig: kukt 	 languagetool: rückt 	 correct: kuckt ours: Kurt
orig: feruckt 	 languagetool: verdeckt 	 correct: verrückt ours: feucht
orig: klinklelink 	 languagetool:  	 correct: klingeling ours: klingeln
orig: feruckt 	 languagetool: verdeckt 	 correct: verrückt ours: feucht
orig: klinklelink 	 languagetool:  	 correct: klingeling ours: klingeln
orig: klink 	 languagetool: klingt 	 correct: kling ours: klick
orig: ap 	 languagetool: AP 	 correct: abgebildet ours: an
orig: gebildet 	 languagetool:  	 correct: abgebildet ours: gebildet
orig: watet 	 languagetool:  	 correct: wartet ours: Wartet
orig: säter 	 languagetool: sät er 	 correct: später ours: Später
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: ist 	 languagetool:  	 correct: isst ours: ist
orig: Hunde 	 languagetool:  	 correct: Hundefutter ours: Hund
orig: futter 	 languagetool:  	 correct: Hundefutter ours: Futter
orig: Anrft 	 languagetool: Anrath 	 correct: Anruft ours: Angst
orig: bies 	 languagetool: bis 	 correct: bins ours: bis
orig: schbete 	 languagetool: späte 	 correct: später ours: schaute
orig: diendan 	 languagetool: Diendan 	 correct: dingdong ours: Dienen
orig: kukt 	 languagetool: rückt 	 correct: kuckt ours: Kult
orig: ist 	 languagetool:  	 correct: isst ours: Ist
orig: Hunde 	 languagetool:  	 correct: Hundefutter ours: Kunde
orig: futer 	 languagetool: guter 	 correct: Hundefutter ours: Futter
orig: Madschen 	 languagetool: Mätzchen 	 correct: Mädchen ours: Maischen
orig: Eie 	 languagetool: Die 	 correct: Einmal ours: Sie
orig: mal 	 languagetool:  	 correct: Einmal ours: Man
orig: Dan 	 languagetool:  	 correct: Dann ours: an
orig: si 	 languagetool: die 	 correct: sie ours: so
orig: hause 	 languagetool:  	 correct: Hause ours: pause
orig: si 	 languagetool: die 	 correct: sie ours: so
orig: kan 	 languagetool: kann 	 correct: kam ours: an
orig: futer 	 languagetool: guter 	 correct: Futter ours: guter
orig: gegesen 	 languagetool: gegeben 	 correct: gegessen ours: gelesen
orig: loli 	 languagetool: Soli 	 correct: Lolli ours: Soli
orig: Posta 	 languagetool: Costa 	 correct: Poster ours: Post
orig: kugt 	 languagetool: gut 	 correct: kuckt ours: Fugt
orig: das 	 languagetool:  	 correct: dass ours: das
orig: Springt 	 languagetool:  	 correct: springt ours: Springt
orig: das 	 languagetool:  	 correct: dass ours: das
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: hecktig 	 languagetool: heftig 	 correct: hektisch ours: heftig
orig: sar 	 languagetool: SAR 	 correct: sah ours: War
orig: wen 	 languagetool: Wen 	 correct: wenn ours: Wenn
orig: Tel 	 languagetool:  	 correct: Tel. ours: Tel
orig: nete 	 languagetool: neue 	 correct: nette ours: neue
orig: irgend 	 languagetool:  	 correct: irgendwoher ours: irgend
orig: wo 	 languagetool:  	 correct: irgendwoher ours: wo
orig: her 	 languagetool:  	 correct: irgendwoher ours: her
orig: herrein 	 languagetool: her rein 	 correct: herein ours: Herren
orig: Hallo 	 languagetool:  	 correct: hallo ours: Hallo
orig: das 	 languagetool:  	 correct: dass ours: das
orig: hegt 	 languagetool:  	 correct: hängt ours: legt
orig: Uhr 	 languagetool:  	 correct: urplötzlich ours: Ihr
orig: plözlich 	 languagetool: plötzlich 	 correct: urplötzlich ours: plötzlich
orig: umarmdend 	 languagetool: umarmend 	 correct: umarmten ours: umarmen
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: mächer 	 languagetool: Fächer 	 correct: Mädchen ours: Macher
orig: morgen 	 languagetool:  	 correct: Morgen ours: morgen
orig: bilda 	 languagetool: Hilda 	 correct: Bilder ours: Bild
orig: dan 	 languagetool: Dan 	 correct: dann ours: Dann
orig: Dan 	 languagetool:  	 correct: Dann ours: An
orig: froint 	 languagetool: freund 	 correct: Freund ours: Front
orig: namh 	 languagetool: nach 	 correct: nahm ours: Nahm
orig: loli 	 languagetool: Soli 	 correct: Lolli ours: Soli
orig: dan 	 languagetool: Dan 	 correct: dann ours: Das
orig: an 	 languagetool:  	 correct: angeklingelt ours: in
orig: geklingelt 	 languagetool:  	 correct: angeklingelt ours: geklingelt
orig: fris 	 languagetool: Iris 	 correct: friss ours: fis
orig: ganzfil 	 languagetool: Tanzfilm 	 correct: ganz viel ours: ganz
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: wek 	 languagetool: weg 	 correct: weggerannt ours: wer
orig: gerant 	 languagetool: gerät 	 correct: weggerannt ours: gerannt
orig: wated 	 languagetool: watet 	 correct: wartet ours: waten
orig: das 	 languagetool:  	 correct: dass ours: das
orig: an 	 languagetool:  	 correct: anruft ours: in
orig: ruft 	 languagetool:  	 correct: anruft ours: ruf
orig: an 	 languagetool:  	 correct: angerufen ours: an
orig: gerufen 	 languagetool:  	 correct: angerufen ours: gerufen
orig: das 	 languagetool:  	 correct: dass ours: das
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: beimer 	 languagetool: beim er 	 correct: bei mir ours: Eimer
orig: das 	 languagetool:  	 correct: dass ours: das
orig: an 	 languagetool:  	 correct: angerufen ours: in
orig: ger 	 languagetool:  	 correct: angerufen ours: der
orig: rufen 	 languagetool:  	 correct: angerufen ours: rufen
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: zu 	 languagetool:  	 correct: zurückgekommen ours: zu
orig: rük 	 languagetool: Eyck 	 correct: zurückgekommen ours: früh
orig: gekomin 	 languagetool: Bäckerin 	 correct: zurückgekommen ours: gekommen
orig: um 	 languagetool:  	 correct: umarmte ours: Am
orig: ar 	 languagetool:  	 correct: umarmte ours: an
orig: mte 	 languagetool:  	 correct: umarmte ours: Ute
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: Lole 	 languagetool: Kohle 	 correct: Lolli ours: Pole
orig: gegebenhal 	 languagetool:  	 correct: gegeben hat ours: gegeben
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: wik 	 languagetool: Eyck 	 correct: weg ours: wie
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: hent 	 languagetool: hält 	 correct: hängt ours: hebt
orig: wartt 	 languagetool: warnt 	 correct: wartet ours: Wartet
orig: plöztge 	 languagetool: blasige 	 correct: plötzlich ours: Löste
orig: Fröden 	 languagetool: Fr öden 	 correct: Freude ours: frönen
orig: Kingt 	 languagetool: Singt 	 correct: klingelt ours: klingt
orig: Risen 	 languagetool: Eisen 	 correct: riesen ours: Riesen
orig: Lauli 	 languagetool: Pauli 	 correct: Lolli ours: Juli
orig: baglade 	 languagetool: nachlade 	 correct: Plakate ours: Ballade
orig: fand 	 languagetool:  	 correct: Wand ours: wand
orig: feil 	 languagetool:  	 correct: weil ours: fiel
orig: bagladen 	 languagetool: nachladen 	 correct: Plakaten ours: Balladen
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: zimer 	 languagetool: Eimer 	 correct: Zimmer ours: zimmer
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: gelmbenfileg 	 languagetool:  	 correct: gelben Füller ours: geldgeiler
orig: hendi 	 languagetool: heute 	 correct: Handy ours: Heidi
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: gesangnd 	 languagetool: gespannt 	 correct: gesagt ours: Gesang
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: gesangnd 	 languagetool: gespannt 	 correct: gesagt ours: Gesang
orig: gom 	 languagetool: vom 	 correct: komm ours: Go
orig: der 	 languagetool:  	 correct: dir ours: den
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: frdich 	 languagetool: artig 	 correct: Freudigkeit ours: dich
orig: geind 	 languagetool: keine 	 correct: Freudigkeit ours: Feind
orig: hand 	 languagetool: Hand 	 correct: hat ours: Hand
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: dort
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: gebelnd 	 languagetool: gebend 	 correct: gebellt ours: gebend
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: gerand 	 languagetool: genant 	 correct: gerannt ours: Gewand
orig: auf 	 languagetool:  	 correct: aufgemacht ours: auf
orig: gemachnd 	 languagetool: gemacht 	 correct: aufgemacht ours: gemacht
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: geseingnd 	 languagetool:  	 correct: gezeigt ours: gemeinen
orig: hand 	 languagetool: Hand 	 correct: hat ours: fand
orig: Loli 	 languagetool: Lola 	 correct: Lolli ours: Soli
orig: gefeind 	 languagetool: gemeint 	 correct: geweint ours: gemeint
orig: hand 	 languagetool: Hand 	 correct: hat ours: Hand
orig: dodo 	 languagetool: tot 	 correct: Dodo ours: doch
orig: nahase 	 languagetool: nahe 	 correct: nachhause ours: nahe
orig: hand 	 languagetool: Hand 	 correct: hat ours: Hand
orig: umarmnd 	 languagetool: umarmend 	 correct: umarmt ours: umarmen
orig: suhrt 	 languagetool: führt 	 correct: sucht ours: fuhrt
orig: überal 	 languagetool: über al 	 correct: überall ours: über
orig: Klenl 	 languagetool: Kiel 	 correct: Klingeln ours: Kleid
orig: Las 	 languagetool: las 	 correct: Lars ours: Gas
orig: Last 	 languagetool:  	 correct: lasst ours: Lust
orig: Schdift 	 languagetool: Schrift 	 correct: Stift ours: Schritt
orig: faln 	 languagetool: van 	 correct: fallen ours: Fall
orig: lart 	 languagetool: laut 	 correct: lacht ours: laut
orig: Las 	 languagetool:  	 correct: Lars ours: Last
