Languagetool gets right: 2478
Out of: 5366
Accuracy: 0.462

LT correct + ours correct: 1813
LT correct + ours incorrect: 665
LT incorrect + ours correct: 1176
LT incorrect + ours incorrect: 1712

############ Correct by Languagetool, correct by us ##########
orig: Naturlich 	 correct: Natürlich ours: Natürlich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Lernen 	 languagetool:  	 correct: lernen ours: lernen
orig: Katz 	 languagetool:  	 correct: Katze ours: Katze
orig: desalbe 	 languagetool: de salbe 	 correct: deshalb ours: deshalb
orig: Schreiben 	 languagetool:  	 correct: schreiben ours: schreiben
orig: Voraur 	 languagetool: Voraue 	 correct: Voraus ours: Voraus
orig: Für 	 languagetool:  	 correct: für ours: für
orig: Paar 	 languagetool:  	 correct: paar ours: paar
orig: nich 	 languagetool:  	 correct: nicht ours: nicht
orig: Für 	 languagetool:  	 correct: für ours: für
orig: besondern 	 languagetool: besonders 	 correct: besonderen ours: besonderen
orig: günstiga 	 languagetool: günstig 	 correct: günstiger ours: günstiger
orig: weißst 	 languagetool: Weißst 	 correct: Weißt ours: Weißt
orig: Super 	 languagetool:  	 correct: super ours: super
orig: Gluckwunsch 	 languagetool: Gluck Wunsch 	 correct: Glückwunsch ours: Glückwunsch
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Seit 	 languagetool: seit 	 correct: Zeit ours: Zeit
orig: Erste 	 languagetool:  	 correct: erste ours: erste
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: schones 	 languagetool: schon es 	 correct: schönes ours: schönes
orig: Libe 	 languagetool: Lippe 	 correct: Liebe ours: Liebe
orig: fiele 	 languagetool: viele 	 correct: Viele ours: Viele
orig: grüße 	 languagetool:  	 correct: Grüße ours: Grüße
orig: wen 	 languagetool:  	 correct: wenn ours: wenn
orig: Schencke 	 languagetool: Genicke 	 correct: schenke ours: schenke
orig: wonderbae 	 languagetool: wunderbare 	 correct: wunderbar ours: wunderbar
orig: Dancke 	 languagetool: Dance 	 correct: Dank ours: Dank
orig: Für 	 languagetool:  	 correct: für ours: für
orig: bisüche 	 languagetool: Fische 	 correct: besuche ours: besuche
orig: geit 	 languagetool: seit 	 correct: geht ours: geht
orig: brif 	 languagetool: brav 	 correct: Brief ours: Brief
orig: merschweichen 	 languagetool: verschweigen 	 correct: Meerschweinchen ours: Meerschweinchen
orig: ende 	 languagetool:  	 correct: Ende ours: Ende
orig: Toll 	 languagetool:  	 correct: toll ours: toll
orig: Schon 	 languagetool:  	 correct: schon ours: schon
orig: mochte 	 languagetool:  	 correct: möchte ours: möchte
orig: wünsche 	 languagetool:  	 correct: Wünsche ours: Wünsche
orig: dass 	 languagetool:  	 correct: das ours: das
orig: Hervorragend 	 languagetool:  	 correct: hervorragend ours: hervorragend
orig: wiede 	 languagetool: wie de 	 correct: wieder ours: wieder
orig: Besuchen 	 languagetool:  	 correct: besuchen ours: besuchen
orig: Schade 	 languagetool:  	 correct: schade ours: schade
orig: Aber 	 languagetool:  	 correct: aber ours: aber
orig: möschte 	 languagetool: höchste 	 correct: möchte ours: möchte
orig: wiessen 	 languagetool: ließen 	 correct: wissen ours: wissen
orig: pakung 	 languagetool: Deckung 	 correct: Packung ours: Packung
orig: Türkiche 	 languagetool: Türkische 	 correct: türkische ours: türkische
orig: kanst 	 languagetool: ganz 	 correct: kannst ours: kannst
orig: Toll 	 languagetool:  	 correct: toll ours: toll
orig: garn 	 languagetool: Garn 	 correct: gar ours: gar
orig: chf 	 languagetool: CHF 	 correct: Chef ours: Chef
orig: hute 	 languagetool: hüte 	 correct: heute ours: heute
orig: wie 	 languagetool:  	 correct: wir ours: wir
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Arbeite 	 languagetool:  	 correct: arbeite ours: arbeite
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: gluchlich 	 languagetool: klüglich 	 correct: glücklich ours: glücklich
orig: Wünsch 	 languagetool:  	 correct: Wunsch ours: Wunsch
orig: schone 	 languagetool: schonen 	 correct: schöne ours: schöne
orig: nich 	 languagetool: sich 	 correct: nicht ours: nicht
orig: Italianische 	 languagetool:  	 correct: italienischen ours: italienischen
orig: Deutschen 	 languagetool:  	 correct: deutschen ours: deutschen
orig: Gut 	 languagetool:  	 correct: gut ours: gut
orig: Becker 	 languagetool:  	 correct: Bäcker ours: Bäcker
orig: eueren 	 languagetool: neueren 	 correct: euren ours: euren
orig: ien 	 languagetool: in 	 correct: ein ours: ein
orig: Besuchen 	 languagetool:  	 correct: besuchen ours: besuchen
orig: horen 	 languagetool: Horen 	 correct: hören ours: hören
orig: moment 	 languagetool:  	 correct: Moment ours: Moment
orig: uberliegt 	 languagetool: überfliegt 	 correct: überlegt ours: überlegt
orig: Würde 	 languagetool:  	 correct: würde ours: würde
orig: uber 	 languagetool: Uber 	 correct: über ours: über
orig: erinerre 	 languagetool: erinnerte 	 correct: erinnere ours: erinnere
orig: schon 	 languagetool:  	 correct: schön ours: schön
orig: sms 	 languagetool:  	 correct: SMS ours: SMS
orig: horen 	 languagetool: Horen 	 correct: hören ours: hören
orig: Super 	 languagetool:  	 correct: super ours: super
orig: SPäter 	 languagetool: Später 	 correct: später ours: später
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Meine 	 languagetool:  	 correct: meine ours: meine
orig: Lieber 	 languagetool:  	 correct: lieber ours: lieber
orig: sehn 	 languagetool: zehn 	 correct: sehen ours: sehen
orig: vieleicht 	 languagetool: viel eicht 	 correct: vielleicht ours: vielleicht
orig: gefreuecht 	 languagetool:  	 correct: gefreut ours: gefreut
orig: erzahlen 	 languagetool: Erzahlen 	 correct: erzählen ours: erzählen
orig: Tun 	 languagetool:  	 correct: tun ours: tun
orig: anfanger 	 languagetool: anfangen 	 correct: Anfänger ours: Anfänger
orig: alein 	 languagetool: al ein 	 correct: allein ours: allein
orig: Zweite 	 languagetool:  	 correct: zweite ours: zweite
orig: wunsche 	 languagetool: Wunsche 	 correct: wünsche ours: wünsche
orig: Hoffe 	 languagetool:  	 correct: hoffe ours: hoffe
orig: Fertig 	 languagetool:  	 correct: fertig ours: fertig
orig: mächte 	 languagetool: Mächte 	 correct: möchte ours: möchte
orig: Hoffe 	 languagetool:  	 correct: hoffe ours: hoffe
orig: mächte 	 languagetool: Mächte 	 correct: möchte ours: möchte
orig: michae 	 languagetool: machte 	 correct: Michael ours: Michael
orig: Herlizche 	 languagetool: Persische 	 correct: Herzliche ours: Herzliche
orig: Cheff 	 languagetool: Chefs 	 correct: Chef ours: Chef
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: wüsche 	 languagetool:  	 correct: wünsche ours: wünsche
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: glückwünsch 	 languagetool: Glückwünsche 	 correct: Glückwunsch ours: Glückwunsch
orig: tagen 	 languagetool:  	 correct: Tagen ours: Tagen
orig: katz 	 languagetool: Katz 	 correct: Katze ours: Katze
orig: gaz 	 languagetool: das 	 correct: ganz ours: ganz
orig: Größe 	 languagetool:  	 correct: Grüße ours: Grüße
orig: Lieber 	 languagetool:  	 correct: Liebe ours: Liebe
orig: schon 	 languagetool:  	 correct: schön ours: schön
orig: Vieleicht 	 languagetool: Viel eicht 	 correct: Vielleicht ours: Vielleicht
orig: besuch 	 languagetool:  	 correct: Besuch ours: Besuch
orig: weider 	 languagetool: weiter 	 correct: wieder ours: wieder
orig: Libe 	 languagetool: Lippe 	 correct: Liebe ours: Liebe
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: schal 	 languagetool:  	 correct: Schal ours: Schal
orig: Gut 	 languagetool:  	 correct: gut ours: gut
orig: wunsche 	 languagetool: Wunsche 	 correct: wünsche ours: wünsche
orig: Bitte 	 languagetool:  	 correct: bitte ours: bitte
orig: Grischland 	 languagetool: Reichsland 	 correct: Griechenland ours: Griechenland
orig: Terasse 	 languagetool: Trasse 	 correct: Terrasse ours: Terrasse
orig: garden 	 languagetool: Garden 	 correct: Garten ours: Garten
orig: größe 	 languagetool: Größe 	 correct: große ours: große
orig: größe 	 languagetool: Größe 	 correct: große ours: große
orig: Mein 	 languagetool:  	 correct: mein ours: mein
orig: Helfe 	 languagetool: helfe 	 correct: Hilfe ours: Hilfe
orig: größem 	 languagetool: krassem 	 correct: großem ours: großem
orig: Gruße 	 languagetool:  	 correct: Grüße ours: Grüße
orig: brache 	 languagetool: Brache 	 correct: brauche ours: brauche
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: brache 	 languagetool: Brache 	 correct: brauche ours: brauche
orig: neun 	 languagetool:  	 correct: neue ours: neue
orig: größe 	 languagetool: Größe 	 correct: große ours: große
orig: worte 	 languagetool: Worte 	 correct: warte ours: warte
orig: ich 	 languagetool:  	 correct: Ich ours: Ich
orig: Kommen 	 languagetool:  	 correct: kommen ours: kommen
orig: Wohe 	 languagetool: Hohe 	 correct: Woche ours: Woche
orig: freitag 	 languagetool:  	 correct: Freitag ours: Freitag
orig: wohnungmit 	 languagetool:  	 correct: Wohnung ours: Wohnung
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: braughe 	 languagetool: brauchte 	 correct: brauche ours: brauche
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: braughe 	 languagetool: brauchte 	 correct: brauche ours: brauche
orig: fröh 	 languagetool: früh 	 correct: froh ours: froh
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: hilfen 	 languagetool: Hilfen 	 correct: helfen ours: helfen
orig: gruße 	 languagetool: Gruße 	 correct: große ours: große
orig: Grüeße 	 languagetool: Grieße 	 correct: Grüße ours: Grüße
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Glüglich 	 languagetool: Klüglich 	 correct: glücklich ours: glücklich
orig: bitter 	 languagetool:  	 correct: bitte ours: bitte
orig: Arbeiten 	 languagetool:  	 correct: arbeiten ours: arbeiten
orig: Soll 	 languagetool:  	 correct: soll ours: soll
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Atworten 	 languagetool: Antworten 	 correct: antworten ours: antworten
orig: Helfen 	 languagetool:  	 correct: helfen ours: helfen
orig: get 	 languagetool:  	 correct: geht ours: geht
orig: vile 	 languagetool: viele 	 correct: Viele ours: Viele
orig: get 	 languagetool:  	 correct: geht ours: geht
orig: vile 	 languagetool: viele 	 correct: viel ours: viel
orig: ALLes 	 languagetool: aLLes 	 correct: alles ours: alles
orig: Liebe 	 languagetool:  	 correct: liebe ours: liebe
orig: houte 	 languagetool: Quote 	 correct: heute ours: heute
orig: disch 	 languagetool: dicht 	 correct: dich ours: dich
orig: houte 	 languagetool: Quote 	 correct: heute ours: heute
orig: Schribe 	 languagetool: Grube 	 correct: schreibe ours: schreibe
orig: libe 	 languagetool: live 	 correct: liebe ours: liebe
orig: Kurzem 	 languagetool:  	 correct: kurzer ours: kurzer
orig: Liebe 	 languagetool:  	 correct: liebe ours: liebe
orig: Glückwünsch 	 languagetool: Glück wünsch 	 correct: Glückwunsch ours: Glückwunsch
orig: viele 	 languagetool:  	 correct: Viele ours: Viele
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Suchen 	 languagetool:  	 correct: suchen ours: suchen
orig: Morgen 	 languagetool:  	 correct: morgen ours: morgen
orig: ende 	 languagetool:  	 correct: Ende ours: Ende
orig: Freundlihe 	 languagetool: Freundliche 	 correct: freundlichen ours: freundlichen
orig: Große 	 languagetool:  	 correct: große ours: große
orig: biss 	 languagetool: Biss 	 correct: Bis ours: Bis
orig: Großen 	 languagetool:  	 correct: Grüßen ours: Grüßen
orig: famile 	 languagetool: Tamile 	 correct: Familie ours: Familie
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Treffen 	 languagetool:  	 correct: treffen ours: treffen
orig: Anrufen 	 languagetool:  	 correct: anrufen ours: anrufen
orig: schampoo 	 languagetool: schamlos 	 correct: Shampoo ours: Shampoo
orig: Libe 	 languagetool: Lippe 	 correct: Liebe ours: Liebe
orig: disch 	 languagetool: dicht 	 correct: dich ours: dich
orig: Schwimmen 	 languagetool:  	 correct: schwimmen ours: schwimmen
orig: Huete 	 languagetool: Hütte 	 correct: Heute ours: Heute
orig: park 	 languagetool:  	 correct: Park ours: Park
orig: kanst 	 languagetool: ganz 	 correct: kannst ours: kannst
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: bitt 	 languagetool: Bitt 	 correct: Bitte ours: Bitte
orig: trefen 	 languagetool: träfen 	 correct: treffen ours: treffen
orig: swimmen 	 languagetool: stimmen 	 correct: schwimmen ours: schwimmen
orig: essen 	 languagetool:  	 correct: Essen ours: Essen
orig: Morgen 	 languagetool:  	 correct: morgen ours: morgen
orig: grüße 	 languagetool:  	 correct: Grüße ours: Grüße
orig: Freudin 	 languagetool: Freud in 	 correct: Freundin ours: Freundin
orig: Gehen 	 languagetool:  	 correct: gehen ours: gehen
orig: Morgen 	 languagetool:  	 correct: morgen ours: morgen
orig: wie 	 languagetool:  	 correct: wir ours: wir
orig: glückwünsch 	 languagetool: Glückwünsche 	 correct: Glückwunsch ours: Glückwunsch
orig: Freue 	 languagetool:  	 correct: freue ours: freue
orig: glückwünsch 	 languagetool: Glückwünsche 	 correct: Glückwunsch ours: Glückwunsch
orig: Gluck 	 languagetool:  	 correct: Glück ours: Glück
orig: Mädschen 	 languagetool: Mätzchen 	 correct: Mädchen ours: Mädchen
orig: Jünge 	 languagetool: Dünge 	 correct: Junge ours: Junge
orig: Gratulieren 	 languagetool:  	 correct: gratulieren ours: gratulieren
orig: Bekommen 	 languagetool:  	 correct: bekommen ours: bekommen
orig: freudin 	 languagetool: freudig 	 correct: Freundin ours: Freundin
orig: Freue 	 languagetool:  	 correct: freue ours: freue
orig: alls 	 languagetool: Alls 	 correct: alles ours: alles
orig: besauch 	 languagetool: besang 	 correct: Besuch ours: Besuch
orig: Glücklich 	 languagetool:  	 correct: glücklich ours: glücklich
orig: bebys 	 languagetool: besaß 	 correct: Babys ours: Babys
orig: oberal 	 languagetool: ober al 	 correct: überall ours: überall
orig: GrüßeMaria 	 languagetool: Grüße Maria 	 correct: Grüßen ours: Grüßen
orig: die 	 languagetool:  	 correct: dir ours: dir
orig: Bitte 	 languagetool:  	 correct: bitte ours: bitte
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: das 	 languagetool:  	 correct: dass ours: dass
orig: das 	 languagetool:  	 correct: dass ours: dass
orig: Ruf 	 languagetool:  	 correct: ruf ours: ruf
orig: Ganze 	 languagetool:  	 correct: ganze ours: ganze
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: muttur 	 languagetool: Südtür 	 correct: Mutter ours: Mutter
orig: freundlich 	 languagetool: Freundlich 	 correct: Freundliche ours: Freundliche
orig: Gratuliere 	 languagetool:  	 correct: gratuliere ours: gratuliere
orig: Ihen 	 languagetool: Ehen 	 correct: Ihnen ours: Ihnen
orig: Super 	 languagetool:  	 correct: super ours: super
orig: Gratulierefür 	 languagetool: Gratuliere für 	 correct: gratuliere ours: gratuliere
orig: Babby 	 languagetool: Bobby 	 correct: Baby ours: Baby
orig: Blau 	 languagetool:  	 correct: blau ours: blau
orig: balld 	 languagetool: ballt 	 correct: bald ours: bald
orig: nue 	 languagetool: nur 	 correct: neue ours: neue
orig: schinken 	 languagetool: Schinken 	 correct: schicken ours: schicken
orig: Herzlische 	 languagetool: Persische 	 correct: Herzliche ours: Herzliche
orig: Mädschen 	 languagetool: Mätzchen 	 correct: Mädchen ours: Mädchen
orig: herzlische 	 languagetool: herzliche 	 correct: Herzliche ours: Herzliche
orig: Viellen 	 languagetool: Villen 	 correct: Vielen ours: Vielen
orig: Famili 	 languagetool: Family 	 correct: Familie ours: Familie
orig: gehest 	 languagetool: gehend 	 correct: gehst ours: gehst
orig: Mieten 	 languagetool:  	 correct: mieten ours: mieten
orig: Mieten 	 languagetool:  	 correct: mieten ours: mieten
orig: Frue 	 languagetool: Pfaue 	 correct: freue ours: freue
orig: do 	 languagetool: do. 	 correct: du ours: du
orig: Glücklich 	 languagetool:  	 correct: glücklich ours: glücklich
orig: Sie 	 languagetool:  	 correct: sie ours: sie
orig: Hirzlisch 	 languagetool: Hirschs 	 correct: herzlich ours: herzlich
orig: bie 	 languagetool: bye 	 correct: bei ours: bei
orig: Lieber 	 languagetool:  	 correct: lieber ours: lieber
orig: trefen 	 languagetool: Trefen 	 correct: Treffen ours: Treffen
orig: vergesen 	 languagetool: vergäßen 	 correct: vergessen ours: vergessen
orig: Baled 	 languagetool: Bälde 	 correct: bald ours: bald
orig: tu 	 languagetool:  	 correct: du ours: du
orig: Nahmittag 	 languagetool: Nah Mittag 	 correct: Nachmittag ours: Nachmittag
orig: Uh 	 languagetool: Ihm 	 correct: Uhr ours: Uhr
orig: antworten 	 languagetool:  	 correct: Antworten ours: Antworten
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: beringst 	 languagetool:  	 correct: bringst ours: bringst
orig: neme 	 languagetool: neue 	 correct: nehme ours: nehme
orig: pittza 	 languagetool: bittet 	 correct: Pizza ours: Pizza
orig: bette 	 languagetool: Bette 	 correct: Bitte ours: Bitte
orig: ashraiben 	 languagetool: astreinen 	 correct: schreiben ours: schreiben
orig: zussamen 	 languagetool: aussamen 	 correct: zusammen ours: zusammen
orig: Zum 	 languagetool:  	 correct: zum ours: zum
orig: Treffen 	 languagetool:  	 correct: treffen ours: treffen
orig: vergesen 	 languagetool: vergäßen 	 correct: vergessen ours: vergessen
orig: wen 	 languagetool:  	 correct: wenn ours: wenn
orig: wen 	 languagetool:  	 correct: wenn ours: wenn
orig: alls 	 languagetool: Alls 	 correct: alles ours: alles
orig: alls 	 languagetool: Alls 	 correct: alles ours: alles
orig: Frenndlichen 	 languagetool: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: wigt 	 languagetool: wicht 	 correct: wiegt ours: wiegt
orig: ales 	 languagetool: al es 	 correct: alles ours: alles
orig: wen 	 languagetool:  	 correct: wenn ours: wenn
orig: biebe 	 languagetool: piepe 	 correct: Liebe ours: Liebe
orig: Freue 	 languagetool:  	 correct: freue ours: freue
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: begine 	 languagetool: Begine 	 correct: beginne ours: beginne
orig: Helfen 	 languagetool:  	 correct: helfen ours: helfen
orig: schon 	 languagetool:  	 correct: schön ours: schön
orig: beginn 	 languagetool:  	 correct: Beginn ours: Beginn
orig: Zwei 	 languagetool:  	 correct: zwei ours: zwei
orig: Große 	 languagetool:  	 correct: Größe ours: Größe
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Große 	 languagetool:  	 correct: Größe ours: Größe
orig: Erste 	 languagetool:  	 correct: erste ours: erste
orig: Jule 	 languagetool:  	 correct: Juli ours: Juli
orig: bitt 	 languagetool: litt 	 correct: bitte ours: bitte
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Größe 	 languagetool: Größen 	 correct: Grüße ours: Grüße
orig: begine 	 languagetool: Begine 	 correct: beginne ours: beginne
orig: Schreib 	 languagetool:  	 correct: schreib ours: schreib
orig: Morgen 	 languagetool:  	 correct: morgen ours: morgen
orig: Morgen 	 languagetool:  	 correct: morgen ours: morgen
orig: Deke 	 languagetool: Säcke 	 correct: Decke ours: Decke
orig: liebe 	 languagetool:  	 correct: Lieben ours: Lieben
orig: Liebe 	 languagetool:  	 correct: liebe ours: liebe
orig: schwimmenbad 	 languagetool: schwimmen Bad 	 correct: Schwimmbad ours: Schwimmbad
orig: beringst 	 languagetool:  	 correct: bringst ours: bringst
orig: schun 	 languagetool: schon 	 correct: schön ours: schön
orig: Touch 	 languagetool:  	 correct: Tuch ours: Tuch
orig: Danke 	 languagetool:  	 correct: danke ours: danke
orig: komst 	 languagetool: kommt 	 correct: kommst ours: kommst
orig: do 	 languagetool: do. 	 correct: du ours: du
orig: getrenk 	 languagetool: gedrängt 	 correct: Getränk ours: Getränk
orig: Schwimen 	 languagetool: Schwimmen 	 correct: schwimmen ours: schwimmen
orig: wen 	 languagetool:  	 correct: wenn ours: wenn
orig: wolte 	 languagetool:  	 correct: wollte ours: wollte
orig: Fragen 	 languagetool:  	 correct: fragen ours: fragen
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Habe 	 languagetool:  	 correct: habe ours: habe
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Fahren 	 languagetool:  	 correct: fahren ours: fahren
orig: Besoche 	 languagetool: Bezüge 	 correct: besuche ours: besuche
orig: Fragen 	 languagetool:  	 correct: fragen ours: fragen
orig: Ja 	 languagetool:  	 correct: ja ours: ja
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Krank 	 languagetool:  	 correct: krank ours: krank
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: das 	 languagetool:  	 correct: dass ours: dass
orig: faren 	 languagetool: waren 	 correct: fahren ours: fahren
orig: noch 	 languagetool:  	 correct: nach ours: nach
orig: Kronk 	 languagetool: Krone 	 correct: krank ours: krank
orig: hoben 	 languagetool:  	 correct: haben ours: haben
orig: schneib 	 languagetool: schneit 	 correct: schreib ours: schreib
orig: Fahren 	 languagetool:  	 correct: fahren ours: fahren
orig: Wohe 	 languagetool: Hohe 	 correct: Woche ours: Woche
orig: leide 	 languagetool: leiden 	 correct: leider ours: leider
orig: Wieleicht 	 languagetool: Wie leicht 	 correct: Vielleicht ours: Vielleicht
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Können 	 languagetool:  	 correct: können ours: können
orig: KranK 	 languagetool: Krank 	 correct: krank ours: krank
orig: freunden 	 languagetool:  	 correct: Freunden ours: Freunden
orig: spazern 	 languagetool: spaßen 	 correct: spazieren ours: spazieren
orig: Morgens 	 languagetool:  	 correct: morgens ours: morgens
orig: währe 	 languagetool: wehre 	 correct: wäre ours: wäre
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Jula 	 languagetool: Juli 	 correct: Julia ours: Julia
orig: Dammen 	 languagetool: Herr Dammen 	 correct: Damen ours: Damen
orig: Große 	 languagetool:  	 correct: Grüße ours: Grüße
orig: geerte 	 languagetool: kehrte 	 correct: geehrte ours: geehrte
orig: suhe 	 languagetool: Ruhe 	 correct: suche ours: suche
orig: Kühe 	 languagetool:  	 correct: Küche ours: Küche
orig: monot 	 languagetool: sonst 	 correct: Monat ours: Monat
orig: vie 	 languagetool: die 	 correct: wie ours: wie
orig: dante 	 languagetool: Dante 	 correct: danke ours: danke
orig: Freundlichen 	 languagetool:  	 correct: freundlichen ours: freundlichen
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Küsche 	 languagetool: Züge 	 correct: Küche ours: Küche
orig: Zwei 	 languagetool:  	 correct: zwei ours: zwei
orig: for 	 languagetool: vor 	 correct: für ours: für
orig: bezalen 	 languagetool: besaßen 	 correct: bezahlen ours: bezahlen
orig: möche 	 languagetool: möge 	 correct: möchte ours: möchte
orig: dos 	 languagetool: DOS 	 correct: das ours: das
orig: miete 	 languagetool:  	 correct: Miete ours: Miete
orig: Heren 	 languagetool: Deren 	 correct: Herren ours: Herren
orig: ich 	 languagetool:  	 correct: Ich ours: Ich
orig: geerte 	 languagetool: kehrte 	 correct: geehrte ours: geehrte
orig: Dammen 	 languagetool: Dämmen 	 correct: Damen ours: Damen
orig: geerte 	 languagetool: kehrte 	 correct: geehrte ours: geehrte
orig: Billig 	 languagetool:  	 correct: billig ours: billig
orig: Bitte 	 languagetool:  	 correct: bitte ours: bitte
orig: Centrum 	 languagetool: Cent rum 	 correct: Zentrum ours: Zentrum
orig: Leibe 	 languagetool:  	 correct: Liebe ours: Liebe
orig: holfe 	 languagetool: holte 	 correct: hoffe ours: hoffe
orig: mongen 	 languagetool: manchen 	 correct: morgen ours: morgen
orig: Wohneng 	 languagetool: Wohn eng 	 correct: Wohnung ours: Wohnung
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: küch 	 languagetool: füg 	 correct: Küche ours: Küche
orig: Libe 	 languagetool: Lippe 	 correct: Liebe ours: Liebe
orig: abe 	 languagetool: ABE 	 correct: aber ours: aber
orig: Meine 	 languagetool:  	 correct: meine ours: meine
orig: Schlüsse 	 languagetool:  	 correct: Schlüssel ours: Schlüssel
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Datun 	 languagetool: Da tun 	 correct: Datum ours: Datum
orig: zurücke 	 languagetool: zu rücke 	 correct: zurück ours: zurück
orig: Große 	 languagetool:  	 correct: große ours: große
orig: Danke 	 languagetool:  	 correct: Dank ours: Dank
orig: futtern 	 languagetool:  	 correct: füttern ours: füttern
orig: aufpasen 	 languagetool: aufbauen 	 correct: aufpassen ours: aufpassen
orig: nachmitag 	 languagetool: Nachmitag 	 correct: Nachmittag ours: Nachmittag
orig: flige 	 languagetool: flache 	 correct: fliege ours: fliege
orig: fergesen 	 languagetool: vergäßen 	 correct: vergessen ours: vergessen
orig: tage 	 languagetool: tagen 	 correct: Tage ours: Tage
orig: aufpasen 	 languagetool: aufbauen 	 correct: aufpassen ours: aufpassen
orig: farhe 	 languagetool: wäre 	 correct: fahre ours: fahre
orig: dank 	 languagetool:  	 correct: Dank ours: Dank
orig: Kleine 	 languagetool:  	 correct: kleine ours: kleine
orig: wider 	 languagetool:  	 correct: wieder ours: wieder
orig: Fröndlischen 	 languagetool: Frontlagen 	 correct: freundlichen ours: freundlichen
orig: un 	 languagetool: und 	 correct: um ours: um
orig: Zurück 	 languagetool:  	 correct: zurück ours: zurück
orig: Dak 	 languagetool: DAK 	 correct: Dank ours: Dank
orig: KranK 	 languagetool: Krank 	 correct: krank ours: krank
orig: Komme 	 languagetool:  	 correct: komme ours: komme
orig: gehet 	 languagetool:  	 correct: geht ours: geht
orig: Klein 	 languagetool:  	 correct: klein ours: klein
orig: höffen 	 languagetool:  	 correct: hoffen ours: hoffen
orig: Schef 	 languagetool: Genf 	 correct: Chef ours: Chef
orig: weill 	 languagetool: Weill 	 correct: weil ours: weil
orig: spatsseren 	 languagetool: späteren 	 correct: spazieren ours: spazieren
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: essen 	 languagetool:  	 correct: Essen ours: Essen
orig: Ich 	 languagetool:  	 correct: ich ours: ich
orig: gehet 	 languagetool: geh et 	 correct: geht ours: geht
orig: Spielt 	 languagetool:  	 correct: Spiel ours: Spiel
orig: Kostet 	 languagetool:  	 correct: kostet ours: kostet
orig: Bitte 	 languagetool:  	 correct: bitte ours: bitte
orig: un 	 languagetool:  	 correct: und ours: und
orig: schön 	 languagetool:  	 correct: schon ours: schon
orig: Klein 	 languagetool:  	 correct: klein ours: klein
orig: nich 	 languagetool: sich 	 correct: nicht ours: nicht
orig: Wenn 	 languagetool:  	 correct: wenn ours: wenn
orig: liebe 	 languagetool:  	 correct: Liebe ours: Liebe
orig: schuche 	 languagetool: gucke 	 correct: suche ours: suche
orig: schuche 	 languagetool: gucke 	 correct: suche ours: suche
orig: geerte 	 languagetool: kehrte 	 correct: geehrte ours: geehrte
orig: abar 	 languagetool: aber 	 correct: Aber ours: Aber
